Gender,Income
Male,6000.0
Male,4000.0
Female,4800.0
Female,1801.0
Male,16827.0
Female,5000.0
Male,12500.0
Female,38583.0
Male,8200.0
Male,4500.0
Female,6928.0
Female,2700.0
Female,23333.0
Male,3444.0
Male,2500.0
Male,3500.0
Female,5600.0
Female,5000.0
Female,2260.0
Female,7099.0
Female,9708.0
Male,5500.0
Female,8000.0
Female,1900.0
Female,4850.0
Female,2500.0
Female,8000.0
Male,2860.0
Male,1863.0
Female,5000.0
Male,8695.0
Male,3680.0
Male,3900.0
Male,5000.0
Male,4083.0
Female,3664.0
Male,6550.0
Female,4950.0
Female,5000.0
Female,4473.0
Male,4625.0
Female,2191.0
Male,4700.0
Male,7335.0
Male,5516.0
Female,3060.0
Male,3890.0
Male,13102.0
Male,5250.0
Female,10115.0
Male,12667.0
Female,5749.0
Female,4831.0
Male,10775.0
Female,2720.0
Female,4379.0
Female,1800.0
Female,5800.0
Female,11400.0
Female,14999.0
Female,7228.0
Female,7600.0
Female,9000.0
Female,7078.0
Male,3450.0
Female,10000.0
Female,4600.0
Female,12300.0
Female,6180.0
Male,2692.0
Female,5015.0
Male,6621.0
Female,6246.0
Male,8666.0
Male,2200.0
Male,2797.0
Male,4166.0
Male,23000.0
Male,4600.0
Female,5000.0
Female,10500.0
Female,6250.0
Female,4428.0
Female,4100.0
Male,2700.0
Female,1945.0
Male,7500.0
Male,75000.0
Female,28000.0
Female,1700.0
Female,14600.0
Male,2000.0
Female,7523.0
Male,2500.0
Male,7856.0
Male,14847.0
Female,6000.0
Male,6558.0
Male,7762.0
Male,16200.0
Female,20000.0
Female,1300.0
Female,3838.0
Male,7250.0
Female,11200.0
Male,11552.0
Female,2000.0
Male,2541.0
Male,25000.0
Male,10500.0
Male,9747.0
Male,3600.0
Male,5024.0
Male,3800.0
Male,6167.0
Male,12000.0
Female,3386.0
Female,2400.0
Male,17000.0
Female,5830.0
Male,4000.0
Male,12166.0
Male,12647.0
Male,2000.0
Female,23250.0
Male,3000.0
Female,14583.0
Male,6600.0
Male,13500.0
Female,8334.0
Male,10053.0
Male,3058.0
Male,9000.0
Male,800.0
Male,7000.0
Female,14410.0
Female,3500.0
Male,4800.0
Male,7000.0
Male,5500.0
Male,12916.0
Female,10566.0
Female,13266.0
Male,4450.0
Male,15166.0
Male,3700.0
Female,5200.0
Female,7883.0
Female,5500.0
Male,4200.0
Female,3220.0
Female,7833.0
Male,5000.0
Female,7916.0
Female,2460.0
Male,5000.0
Male,7333.0
Male,6583.0
Male,13333.0
Female,35000.0
Female,5333.0
Female,14166.0
Female,2000.0
Female,7500.0
Male,4612.0
Male,5200.0
Male,6391.0
Female,3725.0
Female,4200.0
Male,4737.0
Female,2000.0
Female,8770.0
Male,1817.0
Male,7885.0
Male,13250.0
Female,11250.0
Female,3900.0
Female,1940.0
Female,3100.0
Male,5400.0
Male,3323.0
Female,4500.0
Female,2600.0
Female,4034.0
Male,7001.0
Female,2384.0
Female,3500.0
Female,10000.0
Female,4000.0
Female,8200.0
Female,5460.0
Male,7500.0
Male,6500.0
Female,4700.0
Male,9500.0
Male,4500.0
Female,6630.0
Female,6626.0
Male,5800.0
Male,21500.0
Female,4166.0
Female,1000.0
Male,5880.0
Female,14300.0
Female,4253.0
Male,6538.0
Female,13000.0
Male,14285.0
Male,5416.0
Male,1410.0
Female,10000.0
Male,6813.0
Female,4601.0
Female,10833.0
Male,2500.0
Female,4733.0
Female,9466.0
Male,4766.0
Male,3500.0
Male,12500.0
Male,2663.0
Female,14166.0
Male,10110.0
Female,3300.0
Male,2200.0
Male,2123.0
Male,2247.0
Male,13704.0
Female,9500.0
Male,3791.0
Male,20000.0
Female,1730.0
Male,4153.0
Male,3700.0
Female,5583.0
Male,4894.0
Male,5100.0
Female,4800.0
Male,2757.0
Female,6420.0
Female,20850.0
Male,3400.0
Female,3900.0
Female,14500.0
Female,27000.0
Male,10000.0
Male,4000.0
Female,8333.0
Female,3074.0
Male,4660.0
Male,13324.0
Female,4500.0
Male,5749.0
Female,8333.0
Female,3080.0
Female,5500.0
Female,3425.0
Female,10102.0
Female,3620.0
Male,8083.0
Female,325.0
Female,8400.0
Female,12000.0
Male,3637.0
Male,12700.0
Female,5416.0
Male,7900.0
Female,2000.0
Female,10667.0
Female,3333.0
Female,2167.0
Male,7812.0
Female,8333.0
Male,8875.0
Male,6372.0
Male,3900.0
Male,8000.0
Male,2335.0
Male,4800.0
Male,12000.0
Female,2600.0
Female,9400.0
Male,18582.0
Female,4167.0
Male,4100.0
Male,21250.0
Female,9166.0
Male,7923.0
Female,2600.0
Female,7400.0
Male,6450.0
Female,10500.0
